Date,ForecastedVolatility
2023-01-03,0.020935083956441072
2023-01-04,0.020895764688699248
2023-01-05,0.02085715989771412
2023-01-06,0.02081925775742497
2023-01-09,0.020782046600000683
2023-01-10,0.020745514914861887
2023-01-11,0.02070965134767602
2023-01-12,0.020674444699326066
2023-01-13,0.02063988392485395
2023-01-17,0.020605958132379434
2023-01-18,0.02057265658199541
2023-01-19,0.02053996868464053
2023-01-20,0.0205078840009501
2023-01-23,0.02047639224008611
2023-01-24,0.02044548325854738
2023-01-25,0.020415147058960737
2023-01-26,0.020385373788854154
2023-01-27,0.02035615373941274
2023-01-30,0.02032747734421861
2023-01-31,0.020299335177975397
2023-02-01,0.0202717179552185
2023-02-02,0.020244616529011827
2023-02-03,0.02021802188963202
2023-02-06,0.020191925163241024
2023-02-07,0.02016631761054789
2023-02-08,0.020141190625460662
2023-02-09,0.020116535733729245
2023-02-10,0.02009234459158006
2023-02-13,0.020068608984343327
2023-02-14,0.020045320825073817
2023-02-15,0.020022472153165834
2023-02-16,0.020000055132963265
2023-02-17,0.019978062052365422
2023-02-21,0.019956485321429435
2023-02-22,0.019935317470969962
2023-02-23,0.019914551151156912
2023-02-24,0.0198941791301119
2023-02-27,0.01987419429250405
2023-02-28,0.019854589638145945
2023-03-01,0.019835358280590226
2023-03-02,0.019816493445727536
2023-03-03,0.019797988470386448
2023-03-06,0.019779836800935893
2023-03-07,0.019762031991890704
2023-03-08,0.019744567704520825
2023-03-09,0.019727437705464715
2023-03-10,0.019710635865347433
2023-03-13,0.019694156157403952
2023-03-14,0.019677992656108128
2023-03-15,0.019662139535807817
2023-03-16,0.019646591069366552
2023-03-17,0.019631341626812227
2023-03-20,0.019616385673993188
2023-03-21,0.019601717771242064
2023-03-22,0.019587332572047814
2023-03-23,0.019573224821736228
2023-03-24,0.01955938935615928
2023-03-27,0.019545821100393646
2023-03-28,0.01953251506744868
2023-03-29,0.019519466356984087
2023-03-30,0.019506670154037686
2023-03-31,0.019494121727763356
2023-04-03,0.019481816430179544
2023-04-04,0.019469749694928457
2023-04-05,0.019457917036046227
2023-04-06,0.019446314046744188
2023-04-10,0.019434936398201465
2023-04-11,0.019423779838369067
2023-04-12,0.019412840190785593
2023-04-13,0.019402113353404738
2023-04-14,0.019391595297434703
2023-04-17,0.01938128206618965
2023-04-18,0.019371169773953274
2023-04-19,0.019361254604854636
2023-04-20,0.019351532811756302
2023-04-21,0.01934200071515488
2023-04-24,0.019332654702094026
2023-04-25,0.01932349122508996
2023-04-26,0.019314506801069536
2023-04-27,0.019305698010320945
2023-04-28,0.01929706149545701
2023-05-01,0.01928859396039112
2023-05-02,0.019280292169325874
2023-05-03,0.019272152945754333
2023-05-04,0.019264173171473956
2023-05-05,0.019256349785613185
2023-05-08,0.019248679783670633
2023-05-09,0.019241160216566914
2023-05-10,0.019233788189709014
2023-05-11,0.019226560862067216
2023-05-12,0.01921947544526451
2023-05-15,0.019212529202678456
2023-05-16,0.019205719448555453
2023-05-17,0.01919904354713729
2023-05-18,0.019192498911800044
2023-05-19,0.01918608300420512
2023-05-22,0.019179793333462463
2023-05-23,0.0191736274553058
2023-05-24,0.019167582971279885
2023-05-25,0.019161657527939614
2023-05-26,0.019155848816060975
2023-05-30,0.019150154569863694
2023-05-31,0.019144572566245525
2023-06-01,0.019139100624028058
2023-06-02,0.019133736603213977
2023-06-05,0.019128478404255647
2023-06-06,0.019123323967334915
2023-06-07,0.019118271271654066
2023-06-08,0.019113318334737794
2023-06-09,0.019108463211746068
2023-06-12,0.019103703994797824
2023-06-13,0.019099038812305333
2023-06-14,0.019094465828319165
2023-06-15,0.01908998324188361
2023-06-16,0.01908558928640245
2023-06-20,0.019081282229014975
2023-06-21,0.01907706036998211
2023-06-22,0.019072922042082562
2023-06-23,0.019068865610018828
2023-06-26,0.01906488946983299
2023-06-27,0.019060992048332157
2023-06-28,0.01905717180252343
2023-06-29,0.019053427219058283
2023-06-30,0.01904975681368623
2023-07-03,0.019046159130717676
2023-07-05,0.01904263274249581
2023-07-06,0.01903917624887745
2023-07-07,0.01903578827672268
2023-07-10,0.019032467479393193
2023-07-11,0.019029212536259228
2023-07-12,0.01902602215221497
2023-07-13,0.019022895057202244
2023-07-14,0.019019830005742512
2023-07-17,0.019016825776476915
2023-07-18,0.01901388117171436
2023-07-19,0.019010995016987445
2023-07-20,0.019008166160616173
2023-07-21,0.019005393473279328
2023-07-24,0.019002675847593353
2023-07-25,0.019000012197698705
2023-07-26,0.018997401458853463
2023-07-27,0.018994842587034207
2023-07-28,0.018992334558543947
2023-07-31,0.01898987636962705
2023-08-01,0.018987467036091065
2023-08-02,0.018985105592935293
2023-08-03,0.018982791093986033
2023-08-04,0.018980522611538417
2023-08-07,0.018978299236004657
2023-08-08,0.01897612007556869
2023-08-09,0.01897398425584704
2023-08-10,0.018971890919555884
2023-08-11,0.018969839226184126
2023-08-14,0.01896782835167245
2023-08-15,0.01896585748809823
2023-08-16,0.018963925843366203
2023-08-17,0.01896203264090482
2023-08-18,0.01896017711936815
2023-08-21,0.018958358532343303
2023-08-22,0.018956576148063196
2023-08-23,0.018954829249124675
2023-08-24,0.018953117132211802
2023-08-25,0.0189514391078243
2023-08-28,0.018949794500011004
2023-08-29,0.0189481826461083
2023-08-30,0.018946602896483405
2023-08-31,0.018945054614282437
2023-09-01,0.018943537175183187
2023-09-05,0.018942049967152517
2023-09-06,0.018940592390208292
2023-09-07,0.018939163856185773
2023-09-08,0.0189377637885084
2023-09-11,0.01893639162196288
2023-09-12,0.018935046802478504
2023-09-13,0.018933728786910624
2023-09-14,0.018932437042828213
2023-09-15,0.01893117104830544
2023-09-18,0.018929930291717183
2023-09-19,0.018928714271538413
2023-09-20,0.01892752249614738
2023-09-21,0.018926354483632536
2023-09-22,0.018925209761603123
2023-09-25,0.018924087867003368
2023-09-26,0.01892298834593019
2023-09-27,0.018921910753454414
2023-09-28,0.018920854653445385
2023-09-29,0.018919819618398913
2023-10-02,0.018918805229268514
2023-10-03,0.0189178110752999
2023-10-04,0.018916836753868606
2023-10-05,0.01891588187032074
2023-10-06,0.018914946037816804
2023-10-09,0.018914028877178475
2023-10-10,0.018913130016738378
2023-10-11,0.0189122490921927
2023-10-12,0.018911385746456677
2023-10-13,0.018910539629522834
2023-10-16,0.018909710398321986
2023-10-17,0.0189088977165869
2023-10-18,0.01890810125471858
2023-10-19,0.018907320689655175
2023-10-20,0.01890655570474337
2023-10-23,0.0189058059896123
2023-10-24,0.018905071240049892
2023-10-25,0.018904351157881603
2023-10-26,0.018903645450851506
2023-10-27,0.018902953832505686
2023-10-30,0.018902276022077905
2023-10-31,0.018901611744377458
2023-11-01,0.018900960729679252
2023-11-02,0.01890032271361599
2023-11-03,0.018899697437072458
2023-11-06,0.01889908464608188
2023-11-07,0.018898484091724267
2023-11-08,0.018897895530026795
2023-11-09,0.01889731872186606
2023-11-10,0.0188967534328723
2023-11-13,0.018896199433335432
2023-11-14,0.018895656498112985
2023-11-15,0.018895124406539763
2023-11-16,0.018894602942339325
2023-11-17,0.018894091893537183
2023-11-20,0.018893591052375678
2023-11-21,0.01889310021523055
2023-11-22,0.018892619182529127
2023-11-24,0.0188921477586701
2023-11-27,0.01889168575194492
2023-11-28,0.018891232974460676
2023-11-29,0.01889078924206453
2023-11-30,0.018890354374269606
2023-12-01,0.018889928194182358
2023-12-04,0.018889510528431335
2023-12-05,0.018889101207097386
2023-12-06,0.018888700063645184
2023-12-07,0.01888830693485614
2023-12-08,0.018887921660762624
2023-12-11,0.01888754408458346
2023-12-12,0.01888717405266073
2023-12-13,0.018886811414397763
2023-12-14,0.018886456022198416
2023-12-15,0.01888610773140749
2023-12-18,0.018885766400252364
2023-12-19,0.018885431889785736
2023-12-20,0.018885104063829542
2023-12-21,0.01888478278891994
2023-12-22,0.018884467934253392
2023-12-26,0.01888415937163383
2023-12-27,0.018883856975420818
2023-12-28,0.018883560622478805
2023-12-29,0.018883270192127304
